Bead Type;Regular;Small;Tiny
C1;18.9;14.2;12
C2;14.8;9.9;7.8
C3;13.8;9.2;6.7
C4;13.4;8.4;6.4
C5;11.2;6.3;4.5
C6;10.1;5.3;3.6
N1;8.1;3.6;2.3
N2;5.6;2.1;0.3
N3;1.8;-1.8;-3.1
N4;2.2;-0.9;-2.9
N5;0;-3.6;-4.9
N6;-1.1;-4.2;-6.1
P1;-2;-5.2;-7.2
P2;-3.8;-6.9;-8.8
P3;-5.1;-7.7;-9.8
P4;-7.4;-9.8;-12.1
P5;-9.1;-11.8;-15.2
P6;-9.2;-12;-14.8
X1;14.3;9.4;7.6
X2;12.7;7.2;5.2
X3;13.9;8;5.4
X4;8.7;4.3;2.7
N1d/a;10.7;6;3.9
N2d/a;7.8;3.8;2.3
N3d/a;3.8;0.2;-1.4
N4d/a;4.3;1.1;-1.2
N5d/a;2.2;-1;-2.8
N6d/a;1;-2.5;-4.1
P1d/a;0.2;-3.7;-5
P2d/a;-1.9;-5.4;-6.8
P3d/a;-3.5;-6.1;-7.8
P4d/a;-5.1;-7.8;-9.5
P5d/a;-7;-9.5;-13.2
P6d/a;-7.4;-9.6;-12.7
Q1;-10.9;-10.6;-14.2
Q2;-15.1;-14.3;-14.5
Q3;-17.4;-18;-18.7
Q4;-18.8;-18.2;-16.3
Q5;-23;-18.2;-17
D;-26.8;-36.4;-36.8
